C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
Chest pain,Chest pain,Anxiety,Pins and needles,Chest pain,Muscle cramps,Pins and needles,Constipation,Diarrhea,Sore throat,Constipation,Abdominal pain,Problems during sex,Sore throat,Sore throat,Unexplained sweating
Shortness of breath,Heart palpitations,Chest pain,Chest pain,Shortness of breath,Pins and needles,Muscle cramps,Diarrhea,Constipation,Runny nose,Diarrhea,Mood swings,"Rash, skin lesions",Runny nose,Runny nose,Vomiting
Fatigue,Mood swings,Mood swings,Heart palpitations,Cough,Poor balance,Poor balance,Back pain,Loss of appetite,Abnormal body temp,Loss of appetite,Change in vision,Joint pain,Abnormal body temp,Abnormal body temp,Runny nose
Heart palpitations,Shortness of breath,Poor concentration,Anxiety,Heart palpitations,Dizziness,Dizziness,Loss of appetite,Abdominal pain,Fever,Back pain,Anxiety,Chills,Fever,Muscle pain,Sore throat
Anxiety,Anxiety,Heart palpitations,Mood swings,Fatigue,Muscle pain,Muscle pain,Abdominal pain,Back pain,Headache,Abdominal pain,Fatigue,Change in vision,Loss of smell,Headache,Abnormal body temp
Mood swings,Fatigue,Shortness of breath,Muscle cramps,Poor concentration,"Fainting, blackouts",Sleep disturbance,Nausea,Change in vision,Loss of smell,Nausea,Diarrhea,Fever,Headache,Fever,Nausea
