u_mass,c_v,c_uci,c_npmi
-1.2303988506578611,0.8485542532944083,-0.07196954941359805,0.037983664005452694
-1.2953690136708929,0.8325584871738018,-0.3247346904706456,0.027602576451102718
-1.3785066971713462,0.8297087393276359,-0.2796130763322674,0.03059560253101333
-1.347008441120956,0.8265143097465174,-0.34566248084133855,0.02432321408250554
-1.3370414241239479,0.8263467661677805,-0.256690930963536,0.030480561463626665
-1.327488705743271,0.8338811777553089,-0.3724855477011853,0.025430576626771888
-1.2864438264710878,0.8323353337823232,-0.2659473718506761,0.030911060375409263
-1.2358362939218754,0.8281595644066508,-0.30470266200970286,0.02765044821478894
-1.244228753293275,0.8341024817050288,-0.23902895972374089,0.030338335294086537
-1.2901425504357364,0.8327955574820816,-0.31411570208527506,0.02671902459905263
-1.3212448199114093,0.8186783925869592,-0.3390340152894458,0.02143749210944494
-1.2558860897298831,0.8300929633318808,-0.3097231212151402,0.028820074216387794
-1.2163682557459083,0.8318370846898132,-0.23357555699620478,0.0299858192043091
-1.3450393395068483,0.8363947465933715,-0.25068079827187256,0.02979008786814291
-1.3285802848673116,0.8315686164608431,-0.27860832279298475,0.027961116627297836
-1.3388067668085297,0.8287464708298901,-0.27343445096580726,0.02771274443071774
-1.2812347327480904,0.8266156991902684,-0.31653538079130356,0.02621304058849235
-1.2797225493482436,0.832565355084388,-0.29805495213796473,0.026984591005924142
-1.3656864506923394,0.8290988992956161,-0.2718751886661769,0.02963995392079073
-1.3103762228926104,0.8238279880423023,-0.3589622543181473,0.02560620859669762
-1.4402867523167975,0.8181084812004328,-0.38132479112197903,0.02173728302613088
-1.4429674472889809,0.8205324547433613,-0.46284394501328685,0.02192493533067694
-1.6383979437246534,0.8029308500305188,-0.636779965401958,0.018042342047940394
-1.477352675001212,0.8155535518372653,-0.49492874324379554,0.022547692008455366
-1.6287626525134902,0.8015042038664121,-0.6937098212218977,0.01414946203820336
-1.5813383637005745,0.8066667594654524,-0.5838084506517431,0.015861491509343312
-1.6003355088273623,0.8028045300794485,-0.5970533302570085,0.014722492192880887
-1.5614639275549482,0.8064726842316327,-0.5882254152350387,0.01494755322653927
-1.7127903921871193,0.7902747391219557,-0.8319083981398195,0.007484235310237956
-1.7406454078983506,0.7886866837606078,-0.819194981040866,0.011148340140041115
-1.633497392715629,0.8022672693725612,-0.6264606183569392,0.015662904991896053
-1.6838766064904676,0.7939614238285119,-0.7767724479820874,0.01226457604334624
-1.7136195379208519,0.793424553840494,-0.789508494267193,0.009682616815299479
-1.6707674002421262,0.7979324348969613,-0.7519227770556047,0.01709963282945493
-1.659925350113002,0.8013962098003615,-0.7075052529876039,0.013200550468207464
-1.5816307849416917,0.8035570302139806,-0.6773232414929831,0.015709684406711322
-1.694592800613469,0.7972494990709088,-0.7120236283121043,0.015774262037343202
-1.6519546222588184,0.7993702424174702,-0.6907207120598253,0.012452601442362475
-1.6027535366485317,0.8009612529957675,-0.6428649071972027,0.014368523093056501
-1.6255632422229993,0.8003859150594431,-0.6744175535327607,0.017664292615210905
-1.5982832878105824,0.802134945347577,-0.6576895581289164,0.015924830263159266
-1.6628510496092812,0.7993971941212015,-0.7007108736058244,0.012290832939791791
-1.5756182045859857,0.8056371334225304,-0.6552512866047325,0.014223741621708426
-1.6309010069624645,0.7972324850943753,-0.8170292564358258,0.01536974746566936
-1.7521753731859706,0.7900114932409986,-0.8279822124954616,0.010503549765941788
