u_mass,c_v,c_uci,c_npmi
-0.9994874973731274,0.6610141299972689,-0.27933137045993,-0.02820971701477832
-1.0091910334407392,0.6571752355675616,-0.23734279909699096,-0.02623323759059647
-1.0339539642547555,0.619489518207504,-0.18562324208340694,-0.016607751624549368
-1.0020122961242321,0.6465396519197837,-0.21408512071803934,-0.02298532187580875
-1.0587146435083892,0.6324541310042596,-0.21854376370573414,-0.020383087648962257
-0.9996503508748164,0.6420073656267199,-0.21986219417070543,-0.025845327211134778
-1.0503549404549206,0.6372940099841131,-0.266016829060303,-0.02905940762262956
-1.051195745432932,0.6315535660892526,-0.21245574168048453,-0.02094003371702996
-1.0539160031221808,0.6185302900153732,-0.24857008083622506,-0.025639235535640494
-1.0124957335634415,0.6336788307018639,-0.21833886512424858,-0.023034902208981356
-1.0430180678851184,0.6248944324816402,-0.20762451629516152,-0.02223909543842455
-1.0319570957460387,0.6197919961053292,-0.24217793006525928,-0.028744239760890133
-1.0442055849313434,0.6272170131772026,-0.19410350078927394,-0.0140614712754092
-1.065844184709218,0.6246464314636794,-0.2429472493076742,-0.02296887991100427
-1.0545327528116548,0.62578460287248,-0.25495622172881793,-0.024504657426630196
-1.0764725509261492,0.6243519202463357,-0.2438721085387512,-0.023710697271569613
-1.019119441025148,0.6357225861909436,-0.2011243310763363,-0.01833226180030659
-1.010940866833566,0.6484737033725713,-0.2362375746364896,-0.02683138546549786
-1.071452389678775,0.6226842255211877,-0.24113641650520976,-0.02338045259299709
-1.0554980207586608,0.6388132034998238,-0.2732478446610635,-0.024920170965343064
-1.0484435563252619,0.6387856498788685,-0.255720238331619,-0.027674652863002882
-1.0356746357426057,0.6311249842064754,-0.2704571066512886,-0.026360248894907908
-1.0605793753938033,0.6459522952541309,-0.22966140295161305,-0.02326827599719199
-1.0755014640147547,0.63453187508292,-0.2590901034732507,-0.02252525446276528
-1.045093233608284,0.6299984201633915,-0.2446169272366405,-0.022663426480432965
-1.048496458190934,0.6263210590143115,-0.2480578961017563,-0.02534164052506678
-1.0368671000256573,0.6296579292041548,-0.2275046796082323,-0.022724734362984812
-1.0446320157393882,0.6310464719398282,-0.2526962512604439,-0.026035765771931438
-1.0411698043297908,0.6438106736960403,-0.2437743032066488,-0.025554584193433882
-1.0441818429350052,0.6368268425769518,-0.2512805804153649,-0.027685024275779523
-1.0600818685849833,0.6272709402272492,-0.2858465652033557,-0.0285699301930087
-1.0501488604326175,0.6294066037210803,-0.2648083821361767,-0.02805609213937477
-1.0396434770868648,0.6336539880386468,-0.2724371872678454,-0.02871671924292154
-1.0556626309575998,0.6334903624317345,-0.2600093702884276,-0.02701336455807589
-1.0688461613389888,0.6390176123862477,-0.30605772966698785,-0.03153379910458671
-1.0724542461963298,0.6364866867046043,-0.2660481475225785,-0.0273836584380268
-1.0508590910004798,0.6331447362641897,-0.2656872371184341,-0.0255687253348997
-1.0594221058765074,0.6359908659838377,-0.296103382256159,-0.030529787639102628
-1.0471615614196075,0.6327888155960324,-0.27931613492114504,-0.02922583232761744
-1.0589587071795092,0.6360263589896533,-0.30852687216294766,-0.033009239135316656
-1.0482140196257455,0.6389556855122879,-0.2589185130263734,-0.026995573246738576
-1.0713318198465,0.6284330460236316,-0.28657096183610214,-0.028560836621841935
-1.0523250036369156,0.6244194114713961,-0.2686831148635709,-0.02895788370110609
-1.067119034782831,0.6310353660360551,-0.2820937723195958,-0.02917405781129688
-1.053519668391324,0.6340665813253317,-0.24911173125399552,-0.025615104314183665
-1.0494944279090768,0.6389588666815593,-0.2810370465766034,-0.028649017043508886
-1.0589608678990852,0.6256470706163951,-0.23445958507330888,-0.024216480014084617
-1.067022454705303,0.6344737860871541,-0.29354114142821813,-0.029626781186002062
-1.0617005222770826,0.6308916692509091,-0.2761391145833266,-0.027761166207470867
-1.0802801371132622,0.6220261747437913,-0.29909254236960986,-0.030481249149666073
-1.0614529868733054,0.6326536083077487,-0.28486433116674276,-0.029055100749934133
-1.0613434614603252,0.6381928460158337,-0.2977830307855226,-0.0289538798508431
-1.044547350016739,0.6381474047619464,-0.2693665079690425,-0.026182707678535904
-1.0432879122718854,0.6377486803413653,-0.27690036226009357,-0.027807739849057333
-1.0537498470996916,0.6393572560707252,-0.2737562114763021,-0.02722251043860072
-1.0767587453970804,0.632526190637876,-0.3070686499710368,-0.030241921593187133
-1.0767182349853908,0.6287532516801293,-0.30177436746830655,-0.028403056654255524
-1.0812363225456774,0.6342517575765672,-0.2954599902235881,-0.030510568293701006
-1.0773926026493799,0.6316237404735457,-0.3202198177140771,-0.03210401117672927
