u_mass,c_v,c_uci,c_npmi
-0.960324477507553,0.6415912026611004,-0.24974843934119995,-0.02811805789202588
-1.0101440175071648,0.6360603546446919,-0.22560114076680404,-0.02484115135399148
-1.0486136614141635,0.6549302735637325,-0.24274706382553812,-0.02009849728179113
-1.0104765073195063,0.6446561352509252,-0.24494833028778987,-0.023838752744364783
-1.0132137375921293,0.6320962705652861,-0.2140816695657415,-0.023862325250427734
-1.0186168807708715,0.622769176734088,-0.22010931950011092,-0.024320658352253503
-1.0036676685808303,0.6385641670301838,-0.21972139510301236,-0.023227699620713624
-1.014965608838031,0.6342655810897262,-0.22868763163341863,-0.02833942260984467
-0.9841601549907315,0.6395414972018714,-0.19875563615543718,-0.020665493523943246
-1.0646218135753187,0.6236222454502403,-0.1973528486854801,-0.017997360308110142
-1.0935243148077556,0.6079274639273285,-0.27011762061826716,-0.026224515779622815
-1.0176184989345214,0.6456688679371738,-0.2469904098299992,-0.026852212400953833
-1.0333004156616752,0.6195784149636542,-0.22180645442942987,-0.024739189570958237
-1.0289566027913246,0.653620716705999,-0.22913647462062542,-0.021751279519742654
-1.0426773067265958,0.6311979964457788,-0.2406305465022927,-0.023991736984855978
-1.006379857977747,0.6362304560673566,-0.2630552607875959,-0.03038863968596029
-1.044012620821072,0.6235858160399161,-0.24449064527095737,-0.02384960389873585
-1.0640017030445952,0.6269608979286453,-0.23037015761214447,-0.022339671965070834
-1.0281974925807988,0.6307016792964703,-0.2500675652576993,-0.027826739841561178
-1.034109576530173,0.6322170510271689,-0.2598929734333201,-0.025653104204437144
-1.0462789129260706,0.6243217371681075,-0.2597389282340532,-0.028162085161869056
-1.0496207642097126,0.6362711987317413,-0.27110323830868205,-0.027147131930189458
-1.0495823413675496,0.6327518869654748,-0.22995158943165686,-0.023150285425689466
-1.0356635787718684,0.6458460483057489,-0.26764293977142295,-0.026794728856863532
-1.0739109816997576,0.6294877776436812,-0.2693544247232678,-0.026937325912249125
-1.0363497682027423,0.6363457690612785,-0.2778261418395313,-0.028708341578305104
-1.0571393023088063,0.6277049802455589,-0.27076623919088394,-0.02849792601063195
-1.0763839970844338,0.6331623002757197,-0.2701027215693051,-0.02905476430474056
-1.0549717915160217,0.6320973268509569,-0.2643572867127993,-0.02948770710009287
-1.0504194700908587,0.6281135797145534,-0.2777386732495722,-0.029124744554825475
-1.035399879299582,0.6378346123683969,-0.2554605619700351,-0.02621266807503306
-1.0482435409048632,0.6332719307702303,-0.2644928444551483,-0.027865904795443795
-1.0575405042130632,0.6327849535550677,-0.2641187215656854,-0.026588079486327545
-1.0464667906353466,0.6410042925725654,-0.2644641349884577,-0.026199134852998816
-1.0292777107789488,0.6348002754363508,-0.2518316044313242,-0.02693763370236799
-1.0429482803000663,0.6271157451038961,-0.2606968463099459,-0.026139892153705366
-1.0713725598033108,0.6334886363714005,-0.2833660104604807,-0.026488110004869923
-1.0434975926854717,0.6392279148243032,-0.25300893812632974,-0.026931782119584087
-1.0654387512105195,0.6367818219256374,-0.24365978691638218,-0.024262376878956056
-1.0265844391143137,0.6405933897184528,-0.23322950287720878,-0.023566756613971254
-1.0542308473314623,0.6359318442595855,-0.2706035817746971,-0.02816384069538464
-1.086876813387839,0.637781858187795,-0.30823260071099884,-0.031268191627564175
-1.0706665217319642,0.6362470475503271,-0.271664664245858,-0.027613564699608892
-1.0857419415080423,0.6275556737164144,-0.28136534889726045,-0.028869339861851032
-1.075679035198284,0.6388997844884637,-0.28260777031274975,-0.028919162359109195
-1.0556646716526235,0.6343243966279142,-0.2829501367027965,-0.02840550750598982
-1.0622994781652497,0.6313793687748636,-0.2555847466133867,-0.026638086758856025
-1.0540219780165503,0.6327732689527793,-0.2572695252760336,-0.026585708315698234
-1.067415926124513,0.6334132142973125,-0.30448390020427657,-0.02983271298143564
-1.0497374916818734,0.63065275011715,-0.2654428030003474,-0.028281791674513827
-1.0577091075972684,0.6341306185777198,-0.26842364111729705,-0.02921915184325802
-1.058652315983183,0.6326033827792471,-0.2793029328140463,-0.028275890199966926
-1.0572047637214521,0.6393430175683729,-0.2670200077963207,-0.02759578599732444
-1.0550284570107518,0.635706451633859,-0.27171277126212223,-0.0262866337031464
-1.0734866202919173,0.6320134718064006,-0.27001869904212566,-0.02527164658023425
-1.0417061574535964,0.6434274904275202,-0.28891256916460406,-0.02814010189300042
-1.0630359256882582,0.6367888846636983,-0.30561994795982506,-0.03018948664365643
-1.0652125631912182,0.6334841986363549,-0.30592515306575746,-0.03063542308502266
-1.0696182972139572,0.6314686242804343,-0.29413633608163187,-0.03126160596449969
