u_mass,c_v,c_uci,c_npmi
-0.9850725798031996,0.6577606780982819,-0.288860414472588,-0.03541144214680131
-0.9566390759890697,0.6263242697245781,-0.26488338377048737,-0.029841650523757007
-0.9678791519157156,0.6577065844223908,-0.2660681998492427,-0.028912613394241428
-0.9880878766540698,0.648263901371494,-0.2703829880155388,-0.029768421592988287
-1.0224895066320199,0.6265117931199825,-0.33220263167931435,-0.03460632517707749
-1.0452185133658474,0.6433853399510802,-0.22068301113671282,-0.01679698825294122
-0.9806888769754731,0.6692616364116097,-0.306161559789368,-0.029948976114911305
-1.0359594614558558,0.63383060438137,-0.3721827350117716,-0.033100809606883004
-1.0027767416938427,0.6396557275747792,-0.20441994284216394,-0.016333108283905155
-1.0030536322297292,0.635392845117528,-0.2928413156573066,-0.03388671465166796
-1.009272100893743,0.6362766308548528,-0.27323584248685145,-0.027788405919765
-0.9425470738245986,0.6519696643115849,-0.2809463821661753,-0.03340531218098961
-0.9899751927959305,0.6642171251047808,-0.31343277773425643,-0.03458523845909085
-1.0236151847430286,0.6418786122703559,-0.25380906484483584,-0.024476933990092743
-1.0363581262619883,0.6381436105030245,-0.2752922835084075,-0.025048849771083147
-1.0545079176870822,0.6401464986739523,-0.30284809416692693,-0.027236311974831767
-1.0050567710594231,0.6528094975002097,-0.27960059942319404,-0.026863487296430517
-1.003490216475121,0.647818880678101,-0.2848876360885572,-0.02903908077765234
-1.0360089216568502,0.6472907987034444,-0.30785313473165016,-0.03150359781446126
-1.0541022956229844,0.6524064130073531,-0.2802463560985988,-0.02183769572704089
-1.0351156059922528,0.6487677658796327,-0.30548099866037676,-0.03251249833767388
-1.045050395742286,0.6308914936921812,-0.31441010529740654,-0.03137768772983241
-1.0151383560334362,0.657383946697676,-0.30360534746825446,-0.02981594534481705
-1.030361030278679,0.6528063590603961,-0.31011196729335355,-0.03278250948613926
-1.008634219940815,0.6485656438119284,-0.29840963144038485,-0.03197450259069294
-1.0373886597342894,0.6432287431609617,-0.2768248584058503,-0.02718973488012214
-1.0616599374870663,0.627626394476283,-0.2769967313288975,-0.026401531110715304
-1.040054486209105,0.6472928215782582,-0.307160111194836,-0.030089247830499894
-1.053726495808599,0.6468954376093349,-0.3651786659714116,-0.037319568609716545
-1.0788291918551722,0.6381682070581379,-0.3366031254196257,-0.0321527724803726
-1.0151033151251048,0.6358230198320046,-0.3033955704983158,-0.03285041852273128
-1.0412073400742006,0.6396191380050559,-0.3692582896910293,-0.03836068569537497
-1.0354437728446597,0.6430973617458738,-0.3092552482534635,-0.03200273197499131
-1.028466554833565,0.6449466113885161,-0.3287200713599446,-0.02963941321491777
-1.0352449678874829,0.6446419342450262,-0.34849837483196694,-0.032832597040649385
-1.051747781540596,0.6475072572878158,-0.38083308921978265,-0.036812558289303986
-1.0522636635224394,0.6406067447976753,-0.34307626029159627,-0.0340169056493198
-1.0603624621516063,0.6352021951999295,-0.3323066012013943,-0.034343668167959945
-1.051236731359578,0.6412590046780201,-0.32047153153043634,-0.03250433250688337
-1.0351566156641607,0.6475101978340926,-0.35426383424014696,-0.032383848147457636
-1.0554067882103082,0.6473245256769251,-0.3445498846339836,-0.02959994633860191
-1.0394105038103585,0.6425374243073364,-0.2925622965751478,-0.03289123488141855
-1.0473507627171248,0.6480621753023063,-0.3773561544267505,-0.033700881378210375
-1.0299008293974696,0.6326018207735917,-0.30095546025407327,-0.033024518524935265
-1.0860045658942048,0.6425324195340893,-0.3413137090120234,-0.02874970565245563
-1.0554741586390302,0.6488489115842797,-0.3321817570614851,-0.03379719228463417
-1.0542419871727071,0.6540949264819556,-0.34828949240120854,-0.0338806582397902
-1.03868404266577,0.6415316281843585,-0.3134121515692739,-0.031768149164930905
-1.0458838506019277,0.6435083120811848,-0.33234855392153356,-0.031891736519004524
-1.021139591966698,0.6447345517675916,-0.3085653049542153,-0.030909762515153587
-1.0362774989781922,0.6465101907478316,-0.3940116021218663,-0.034767243395761496
-1.0536838378534938,0.643068832006028,-0.339493410619415,-0.029171125973667177
-1.0683724610158036,0.6421537733608531,-0.4155166865243921,-0.035148615718277994
-1.0357868875103355,0.6465956276493623,-0.35086313506065475,-0.03245422655985196
-1.0707573572531814,0.6485207209137384,-0.3991290195140527,-0.03625318266586865
-1.0570844939505433,0.6444430579020418,-0.3487698915737393,-0.03166778965295083
-1.0494942367284374,0.6484211098248465,-0.378591191994196,-0.03690298615301848
-1.0585477880821037,0.643521298665016,-0.3521163687435433,-0.032752895280915906
-1.0549646031007,0.653204870261051,-0.3359205708815767,-0.030019063588966437
